angle_deg,rho_px
112.0,-138.0
112.0,-130.0
114.0,-209.0
114.0,-144.0
114.0,-143.0
114.0,-142.0
114.0,-134.0
114.0,-122.0
114.0,21.0
116.0,-142.0
116.0,-138.0
116.0,-137.0
116.0,-136.0
116.0,-128.0
116.0,-127.0
116.0,-121.0
116.0,-19.0
118.0,-161.0
118.0,-158.0
118.0,-145.0
118.0,-141.0
118.0,-138.0
118.0,-135.0
118.0,-128.0
118.0,-127.0
118.0,-123.0
118.0,-121.0
120.0,-211.0
120.0,-140.0
120.0,-135.0
120.0,-131.0
120.0,-128.0
120.0,-115.0
122.0,-139.0
122.0,-137.0
122.0,-136.0
122.0,-130.0
122.0,-123.0
122.0,-119.0
122.0,-110.0
122.0,-109.0
124.0,-146.0
124.0,-122.0
124.0,-119.0
124.0,-118.0
124.0,-109.0
126.0,-141.0
126.0,-134.0
126.0,-122.0
128.0,-217.0
128.0,-156.0
128.0,-148.0
128.0,-144.0
128.0,-135.0
128.0,-127.0
128.0,-119.0
128.0,-115.0
130.0,-182.0
130.0,-179.0
130.0,-170.0
130.0,-156.0
130.0,-138.0
130.0,-137.0
130.0,-130.0
130.0,-121.0
130.0,-118.0
130.0,-108.0
130.0,-107.0
132.0,-178.0
132.0,-160.0
132.0,-156.0
132.0,-151.0
132.0,-141.0
132.0,-121.0
134.0,-187.0
134.0,-169.0
134.0,-154.0
134.0,-139.0
134.0,-105.0
136.0,-158.0
136.0,-150.0
136.0,-123.0
138.0,-174.0
138.0,-171.0
138.0,-160.0
138.0,-153.0
138.0,-150.0
138.0,-136.0
138.0,-125.0
138.0,126.0
140.0,-185.0
140.0,-172.0
140.0,-166.0
140.0,-157.0
140.0,-154.0
140.0,-148.0
140.0,32.0
142.0,-192.0
142.0,-178.0
142.0,-167.0
142.0,-152.0
142.0,-151.0
142.0,-150.0
142.0,121.0
142.0,122.0
144.0,-159.0
144.0,-153.0
144.0,-76.0
146.0,-174.0
146.0,-164.0
146.0,-158.0
146.0,-157.0
146.0,-81.0
146.0,122.0
146.0,127.0
146.0,128.0
146.0,129.0
146.0,130.0
148.0,-190.0
148.0,-160.0
148.0,-124.0
148.0,-80.0
148.0,-76.0
148.0,101.0
148.0,120.0
148.0,121.0
150.0,-149.0
150.0,-80.0
150.0,-79.0
150.0,128.0
152.0,-194.0
152.0,-187.0
152.0,-184.0
152.0,-182.0
152.0,-181.0
152.0,111.0
152.0,116.0
152.0,118.0
152.0,125.0
154.0,-194.0
154.0,117.0
154.0,126.0
156.0,-180.0
156.0,104.0
156.0,107.0
156.0,111.0
156.0,112.0
156.0,116.0
158.0,-190.0
158.0,-189.0
158.0,-188.0
158.0,-187.0
158.0,102.0
158.0,103.0
158.0,122.0
158.0,124.0
158.0,129.0
160.0,-190.0
160.0,-189.0
160.0,104.0
160.0,106.0
160.0,107.0
160.0,112.0
160.0,114.0
160.0,115.0
160.0,116.0
160.0,122.0
162.0,-185.0
162.0,-138.0
162.0,98.0
162.0,116.0
164.0,-191.0
164.0,-188.0
164.0,-187.0
164.0,111.0
164.0,114.0
164.0,116.0
164.0,121.0
166.0,-185.0
166.0,-138.0
166.0,111.0
166.0,118.0
166.0,122.0
166.0,123.0
168.0,-174.0
168.0,-134.0
168.0,-133.0
168.0,109.0
168.0,114.0
168.0,115.0
168.0,116.0
168.0,117.0
168.0,123.0
170.0,-177.0
170.0,-174.0
170.0,109.0
170.0,110.0
170.0,111.0
170.0,113.0
170.0,114.0
172.0,-170.0
172.0,-131.0
172.0,107.0
172.0,109.0
172.0,111.0
172.0,113.0
172.0,118.0
172.0,120.0
172.0,121.0
172.0,122.0
174.0,-137.0
174.0,-136.0
174.0,-129.0
174.0,108.0
174.0,111.0
174.0,112.0
174.0,114.0
174.0,117.0
176.0,-136.0
176.0,116.0
178.0,-116.0
178.0,-115.0
178.0,-113.0
178.0,115.0
178.0,117.0
178.0,119.0
178.0,122.0
